Bloomberg Ticker,FUT_TRADING_HRS,TRADING_DAY_START_TIME_EOD,TRADING_DAY_END_TIME_EOD
AUD BGN Curncy,,01:00:00,21:00:00
BRL BGN Curncy,,01:00:00,21:00:00
CNH BGN Curncy,,01:00:00,21:00:00
EUR BGN Curncy,,01:00:00,21:00:00
EURPLN BGN Curncy,,01:00:00,21:00:00
HUF BGN Curncy,,01:00:00,21:00:00
IHN+1M BGN Curncy,,01:00:00,21:00:00
IRN+1M BGN Curncy,,01:00:00,21:00:00
KWN+1M BGN Curncy,,01:00:00,21:00:00
MRN+1M CMPN Curncy,,01:00:00,21:00:00
MXN BGN Curncy,,01:00:00,21:00:00
NTN+1M BGN Curncy,,01:00:00,21:00:00
PLN BGN Curncy,,01:00:00,21:00:00
PPN+1M BGN Curncy,,01:00:00,21:00:00
RUB BGN Curncy,,01:00:00,21:00:00
SGD BGN Curncy,,01:00:00,21:00:00
THB BGN Curncy,,01:00:00,21:00:00
TRY BGN Curncy,,01:00:00,21:00:00
ZAR BGN Curncy,,01:00:00,21:00:00
A51 Index,06:30-15:15 & 16:00-20:00,06:30:00,21:35:00
AI1 Index,06:30-15:30,06:30:00,15:30:00
BC1 Index,02:45-05:30 & 07:15-09:55,02:15:00,12:00:00
BZ1 Index,12:00-21:25,11:55:00,21:55:00
ES1 Index,23:00-22:00,23:00:00,22:00:00
HC1 Index,09:15-19:00 & 01:15-08:30,09:15:00,08:30:00
HI1 Index,09:15-19:00 & 01:15-08:30,09:15:00,08:30:00
IDO1 Index,09:55-21:15 & 01:00-09:30,09:55:00,09:30:00
IH1 Index,10:40-21:15 & 01:00-10:15,10:40:00,10:15:00
IK1 Index,00:45-04:45 & 06:30-09:15,00:45:00,09:30:00
IS1 Index,13:30-21:00,13:30:00,21:00:00
KRS1 Index,07:45-16:05,07:30:00,16:35:00
MES1 Index,01:00-23:00,23:00:00,22:59:00
TWT1 Index,06:15-21:15 & 00:45-05:50,06:15:00,05:50:00
VE1 Index,16:00-20:50 & 07:00-15:45,16:00:00,15:59:00
VG1 Index,00:10-21:00,00:00:00,21:05:00
XU1 Index,09:00-21:15 & 01:00-08:35,09:00:00,08:35:00
FXY1 KMS1 Index,00:00-06:45 & 09:00-20:00,23:30:00,20:00:00
USGG10YR Index,,23:00:00,22:20:00
XAG Curncy,,01:00:00,21:00:00
XAU Curncy,,01:00:00,21:00:00
JPY Curncy,,01:00:00,21:00:00
EWY US Equity,,14:30:00,21:30:00
GC1 Comdty,23:00-22:00,23:00:00,22:00:00
CO1 Comdty,01:00-23:00,01:00:00,23:00:00
EIDO US Equity,,14:30:00,21:30:00
THD US Equity,,14:30:00,21:30:00
EWM US Equity,,14:30:00,21:30:00
EPHE US Equity,,14:30:00,21:30:00
VNM US Equity,,14:30:00,21:30:00
EWS US Equity,,14:30:00,21:30:00
EWA US Equity,,14:30:00,21:30:00
INDA US Equity,,14:30:00,21:30:00
INDY US Equity,,14:30:00,21:30:00
EPI US Equity,,14:30:00,21:30:00
FXI US Equity,,14:30:00,21:30:00
MCHI US Equity,,14:30:00,21:30:00
ASHR US Equity,,14:30:00,21:30:00
EWJ US Equity,,14:30:00,21:30:00
TP1 Index,07:30-20:30 & 23:45-06:15,07:30:00,06:16:00
XP1 Index,06:10-21:00 & 22:50-05:30,06:00:00,05:30:00
IFB1 Index,01:30-03:30 & 05:00-07:00,01:25:00,07:00:00
EZA US Equity,,14:30:00,21:30:00
TUR US Equity,,14:30:00,21:30:00
KSA US Equity,,14:30:00,21:30:00
RSX US Equity,,14:30:00,21:30:00
ERUS US Equity,,14:30:00,21:30:00
MXID Index,,01:55:00,09:05:00
SET50 Index,,02:55:00,10:00:00
MXTH Index,,02:50:00,10:30:00
FBMKLCI Index,,01:00:00,09:00:00
MXMY Index,,22:30:00,13:00:00
MXPH Index,,22:30:00,13:00:00
