,ticker,transaction_type,price,size,position_before,position_after,modelled_price,max_bid,min_ask,return,expected_return,pl,expected_pl
23/11/2020 19:57,KWN+1M BGN Curncy,b,1114.555,1000000,0,1,1115.747371,1114.631623,1116.863118,-0.002346228,0.001069818,-1317.518645,1069.817712
24/11/2020 10:25,KWN+1M BGN Curncy,b,1108.79,1000000,0,1,1109.967423,1108.857456,1111.077391,-0.001032657,0.001061899,-878.6217855,1061.899179
24/11/2020 16:05,KWN+1M BGN Curncy,s,1111.735,1000000,1,0,1111.689004,1109.465626,1111.689004,0.003678934,4.14E-05,1976.359148,41.37309681
30/11/2020 10:31,KWN+1M BGN Curncy,s,1107,1000000,0,-1,1105.869083,1104.763214,1106.974952,-0.000140018,0.001021605,1557.258101,1021.605388
30/11/2020 14:35,KWN+1M BGN Curncy,b,1107.075,1000000,-1,0,1107.156149,1107.156149,1109.370462,7.23E-05,7.33E-05,-462.0239359,73.30059622
01/12/2020 09:38,KWN+1M BGN Curncy,b,1107.645,1000000,0,1,1108.780131,1107.671351,1109.888911,-0.001665696,0.001024815,580.5744047,1024.81457
03/12/2020 15:13,KWN+1M BGN Curncy,s,1091.345,1000000,0,-1,1090.215657,1089.125442,1091.305873,0.001273658,0.001034817,2887.491277,1034.817332
03/12/2020 15:36,KWN+1M BGN Curncy,b,1090.6,1000000,-1,0,1090.687226,1090.687226,1092.8686,-0.000591418,8.00E-05,-1772.300647,79.97961859
07/12/2020 13:35,KWN+1M BGN Curncy,b,1083.895,1000000,0,1,1085.418915,1084.333496,1086.504334,9.69E-05,0.001405961,433.8991532,1405.961465
07/12/2020 16:10,KWN+1M BGN Curncy,s,1083.94,1000000,1,0,1083.889154,1081.721376,1083.889154,-5.54E-05,4.69E-05,1011.486259,46.90829993
07/12/2020 16:57,KWN+1M BGN Curncy,b,1082.445,1000000,0,1,1083.640726,1082.557086,1084.724367,0.001436563,0.001104653,140.1873664,1104.653195
07/12/2020 18:20,KWN+1M BGN Curncy,s,1084.385,1000000,1,0,1084.322808,1082.154163,1084.322808,0.00035504,5.74E-05,1024.973967,57.35207661
08/12/2020 16:50,KWN+1M BGN Curncy,s,1086.5,1000000,0,-1,1085.29698,1084.211683,1086.382277,0.002236539,0.001107244,2195.183197,1107.243522
,,,,,,,,,,,,,
,stage 1 & 3,,,,,,,,,,,,
,KWN+1M BGN Curncy,,,,,,,,,,,,
,IHN+1M BGN Curncy,,,,,,,,,,,,
,FXYA Index/KMSA Index,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,after,,,,,,,,,,,,
,MXID Index,asian hours only to do regression,,,,,,,,,,,
,EIDO US Equity,use regression to model nav,,,,,,,,,,,
